Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,806,1791,55,На складе
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,487,1083,55,На складе
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,2573,5717,55,На складе
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,2957,3791,22,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,1335,2966,55,На складе
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1138,2528,55,На складе
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,1741,3869,55,На складе
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Бакалавриат,1318,2929,55,Ограничено
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,1481,3292,55,На складе
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань:Учебники для вузов. Специальная литература,403,895,55,На складе
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер:Head First (O'Reilly),2516,3226,22,На складе
Изучаем pandas,"Хейдт Майкл, Груздев Артем Владимирович",ДМК-Пресс,2206,4903,55,На складе
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс:Машинное обучение,1161,2580,55,На складе
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,4968,11040,55,Ограничено
C++. Полное руководство. Классическое издание,Шилдт Герберт,Вильямс,3858,8574,55,Ограничено
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,4968,11040,55,На складе
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,2334,5186,55,На складе
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,3258,7240,55,На складе
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1248,2774,55,На складе
Язык и среда программирования R. Учебное пособие,Золотарюк Анатолий Васильевич,ИНФРА-М:Высшее образование. Бакалавриат,653,1452,55,Ограничено
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер:Для профессионалов,1563,2004,22,На складе
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,1509,3354,55,На складе
Java за 24 часа,Кейденхед Роджерс,Диалектика,1286,2858,55,На складе
Совершенный алгоритм. Основы,Рафгарден Тим,Питер:Библиотека программиста,1159,1486,22,На складе
